EPEiD,EYara,EDateSusp,EEPSusp,ECRCSusp,ESuspEntropy,ENumberofSections,ESuspiciousStrings,Malware,ClassesMal
UPX,None,1,1,1,1,3,1,maligno,backdoor
None,None,0,1,1,1,3,1,maligno,backdoor
None,None,0,1,1,1,3,1,maligno,backdoor
None,shellcode,0,0,0,0,4,1,maligno,backdoor
None,shellcode,0,0,0,0,4,1,maligno,backdoor
None,shellcode,0,0,1,1,8,1,maligno,backdoor
UPX,None,1,1,1,1,3,1,maligno,backdoor
Armadillo,None,0,0,1,0,4,1,maligno,backdoor
None,None,0,1,1,1,3,1,maligno,backdoor
None,shellcode,1,1,1,1,11,1,maligno,backdoor
None,shellcode,1,0,1,1,8,1,maligno,backdoor
Armadillo,None,0,0,1,0,4,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
None,None,0,0,1,1,3,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
UPX,None,1,1,1,1,3,1,maligno,backdoor
UPX,None,1,1,1,1,3,1,maligno,backdoor
None,shellcode,0,1,0,1,3,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
Armadillo,shellcode,0,0,1,0,5,1,maligno,backdoor
Armadillo,shellcode,0,0,1,0,5,1,maligno,backdoor
UPX,None,1,1,1,1,3,1,maligno,backdoor
UPX,None,1,1,1,1,3,1,maligno,backdoor
ASPack,shellcode,0,1,1,1,11,1,maligno,backdoor
ASPack,shellcode,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
None,shellcode,0,0,1,1,2,1,maligno,backdoor
None,shellcode,0,0,1,1,2,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
BobSoft,shellcode,0,1,1,1,5,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
UPX,None,1,1,1,1,3,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
BobSoft,shellcode,1,0,1,1,8,1,maligno,backdoor
BobSoft,shellcode,1,0,1,1,8,1,maligno,backdoor
None,None,0,0,1,1,11,1,maligno,backdoor
None,None,0,1,1,1,3,1,maligno,backdoor
UPX,None,0,1,1,1,3,1,maligno,backdoor
None,shellcode,0,0,1,1,5,1,maligno,backdoor
None,shellcode,0,1,1,1,9,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
None,shellcode,0,0,1,1,5,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
ASPack,None,0,1,1,1,11,1,maligno,backdoor
None,shellcode,0,0,1,1,5,1,maligno,backdoor
Armadillo,None,0,0,1,0,4,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
Armadillo,None,0,0,1,0,4,1,benigno,benigno
None,shellcode,0,1,0,1,3,1,benigno,benigno
None,shellcode,0,1,0,1,3,1,benigno,benigno
None,None,0,0,1,1,4,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
Armadillo,shellcode,0,0,0,1,4,1,benigno,benigno
None,None,0,1,1,1,3,1,benigno,benigno
None,shellcode,1,0,1,1,8,1,benigno,benigno
None,shellcode,1,0,1,1,7,1,benigno,benigno
None,shellcode,1,0,1,1,7,1,benigno,benigno
None,shellcode,1,0,1,1,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
None,shellcode,0,0,1,0,4,1,benigno,benigno
None,None,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
MinGW,None,0,0,0,1,6,1,benigno,benigno
None,None,0,0,0,1,3,1,benigno,benigno
None,None,0,0,0,1,3,1,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,4,1,benigno,benigno
Armadillo,shellcode,0,0,0,1,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,4,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,6,1,benigno,benigno
UPX,None,0,1,1,1,3,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
None,shellcode,1,0,1,1,7,1,benigno,benigno
None,shellcode,1,0,1,1,7,1,benigno,benigno
None,None,0,0,1,1,4,1,benigno,benigno
None,None,0,0,1,1,4,1,benigno,benigno
None,shellcode,0,0,0,0,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,4,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,0,1,26,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,5,1,benigno,benigno
None,None,0,1,1,1,3,1,benigno,benigno
None,None,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
UPX,shellcode,?,?,?,?,?,1,benigno,benigno
Armadillo,None,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,0,1,4,1,benigno,benigno
None,None,0,1,0,1,3,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,None,0,1,0,1,3,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,4,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,4,1,benigno,benigno
None,None,0,1,0,1,3,1,benigno,benigno
Xtreme-Protector,shellcode,0,0,1,1,4,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,None,0,0,1,1,4,1,benigno,benigno
None,shellcode,0,0,0,1,26,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
Armadillo,None,0,0,0,0,4,1,benigno,benigno
None,None,0,1,0,1,3,1,benigno,benigno
None,None,0,1,0,1,3,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
None,shellcode,0,0,1,0,5,1,benigno,benigno
Armadillo,shellcode,0,0,1,1,4,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
UPX,None,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,1,1,1,3,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,1,benigno,benigno
UPX,shellcode,0,1,1,1,3,1,benigno,benigno
None,shellcode,0,0,0,1,6,1,benigno,benigno
None,shellcode,0,0,0,1,6,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
NSIS,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,1,0,4,1,benigno,benigno
None,shellcode,0,0,1,1,5,1,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,0,1,1,1,8,1,benigno,benigno
None,shellcode,0,1,1,1,8,1,benigno,benigno
InstallShield,shellcode,1,0,0,0,5,1,benigno,benigno
None,shellcode,1,0,0,1,8,1,benigno,benigno
None,shellcode,0,0,0,1,4,1,benigno,benigno
None,shellcode,0,0,0,1,4,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,1,1,7,1,benigno,benigno
None,shellcode,0,0,0,1,5,1,benigno,benigno
None,shellcode,1,0,1,1,8,1,benigno,benigno
None,shellcode,1,0,0,1,8,1,benigno,benigno
None,shellcode,0,0,1,1,8,1,benigno,benigno
None,shellcode,0,0,1,1,6,1,benigno,benigno
None,shellcode,0,0,1,1,6,1,benigno,benigno
None,shellcode,0,0,1,1,6,1,benigno,benigno
None,shellcode,0,0,1,1,6,1,benigno,benigno
None,shellcode,0,0,1,1,6,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
None,None,1,0,1,1,3,0,benigno,benigno
None,shellcode,0,1,1,1,8,1,benigno,benigno
None,shellcode,0,1,1,1,8,1,benigno,benigno
InstallShield,shellcode,1,0,1,0,3,1,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
Dev-C++,None,0,0,0,1,7,0,benigno,benigno
None,shellcode,0,0,1,0,4,1,benigno,benigno
None,shellcode,0,0,0,0,4,1,benigno,benigno
